iter	Passed	Remaining
577	47645	34786
578	47709	34690
579	47778	34597
580	47851	34509
581	47915	34413
582	47976	34316
583	48035	34217
584	48092	34117
585	48153	34019
586	48214	33922
587	48286	33833
588	48406	33778
589	48511	33711
590	48681	33690
591	48766	33609
592	48849	33527
593	48945	33454
594	49052	33388
595	49148	33315
596	49256	33250
597	49315	33151
598	49405	33074
599	49457	32971
600	49518	32874
601	49570	32772
602	49634	32678
603	49704	32587
604	49781	32501
605	49843	32406
606	49903	32310
607	49961	32211
608	50025	32118
609	50094	32027
610	50157	31933
611	50215	31836
612	50286	31747
613	50349	31652
614	50413	31559
615	50469	31461
616	50537	31370
617	50603	31279
618	50687	31198
619	50801	31136
620	50950	31095
621	51062	31031
622	51143	30948
623	51231	30870
624	51334	30800
625	51452	30739
626	51559	30672
627	51678	30612
628	51816	30562
629	51936	30502
630	52059	30443
631	52188	30388
632	52345	30348
633	52466	30288
634	52580	30223
635	52697	30160
636	52782	30078
637	52875	30001
638	52942	29909
639	53007	29816
640	53076	29726
641	53146	29635
642	53216	29546
643	53358	29496
644	53420	29401
645	53491	29312
646	53559	29221
647	53627	29131
648	53727	29057
649	53804	28971
650	53870	28879
651	53934	28786
652	53998	28694
653	54058	28599
654	54118	28505
655	54179	28411
656	54238	28316
657	54303	28224
658	54376	28137
659	54435	28042
660	54498	27950
661	54560	27857
662	54626	27766
663	54693	27676
664	54754	27583
665	54815	27489
666	54888	27403
667	54965	27318
668	55032	27228
669	55090	27134
670	55153	27042
671	55210	26948
672	55266	26853
673	55325	26759
674	55393	26670
675	55450	26576
676	55525	26491
677	55614	26412
678	55678	26322
679	55738	26229
680	55795	26136
681	55878	26054
682	55941	25964
683	56004	25873
684	56068	25783
685	56135	25694
686	56202	25606
687	56265	25515
688	56321	25422
689	56374	25327
690	56434	25236
691	56501	25147
692	56555	25054
693	56614	24962
694	56669	24869
695	56726	24777
696	56786	24686
697	56837	24591
698	56899	24501
699	56954	24409
700	57026	24323
701	57085	24233
702	57143	24141
703	57212	24055
704	57286	23971
705	57351	23882
706	57415	23794
707	57479	23706
708	57548	23620
709	57614	23532
710	57692	23450
711	57812	23384
712	57876	23296
713	57929	23204
714	57987	23113
715	58046	23023
716	58119	22939
717	58185	22852
718	58266	22771
719	58334	22685
720	58385	22593
721	58441	22502
722	58505	22414
723	58573	22329
724	58632	22239
725	58688	22149
726	58754	22063
727	58833	21981
728	58891	21892
729	58965	21809
730	59023	21719
731	59080	21630
732	59147	21544
733	59211	21458
734	59271	21369
735	59352	21289
736	59417	21203
737	59480	21116
738	59545	21030
739	59615	20946
740	59675	20858
